PQR293, X, Y, Truck
XYZ121, X, Y, Car
PQR288, X, Y, Truck
XYZ138, X, Y, Car
PQR267, X, Y, Truck
XYZ183, X, Y, Car
PQR205, X, Y, Truck
XYZ150, X, Y, Car
PQR217, X, Y, Truck
PQR285, X, Y, Truck
PQR219, X, Y, Truck
PQR259, X, Y, Truck
XYZ139, X, Y, Car
XYZ136, X, Y, Car
XYZ188, X, Y, Car
PQR256, X, Y, Truck
PQR254, X, Y, Truck
PQR273, X, Y, Truck
XYZ184, X, Y, Car
XYZ168, X, Y, Car
PQR200, X, Y, Truck
XYZ130, X, Y, Car
XYZ120, X, Y, Car
XYZ129, X, Y, Car
XYZ175, X, Y, Car
PQR231, X, Y, Truck
PQR245, X, Y, Truck
XYZ133, X, Y, Car
XYZ149, X, Y, Car
PQR287, X, Y, Truck
PQR240, X, Y, Truck
XYZ111, X, Y, Car
PQR281, X, Y, Truck
PQR218, X, Y, Truck
XYZ141, X, Y, Car
XYZ137, X, Y, Car
PQR239, X, Y, Truck
XYZ146, X, Y, Car
PQR237, X, Y, Truck
XYZ178, X, Y, Car
PQR272, X, Y, Truck
PQR289, X, Y, Truck
XYZ171, X, Y, Car
XYZ162, X, Y, Car
XYZ191, X, Y, Car
PQR248, X, Y, Truck
PQR201, X, Y, Truck
PQR220, X, Y, Truck
XYZ125, X, Y, Car
PQR261, X, Y, Truck
XYZ144, X, Y, Car
XYZ126, X, Y, Car
PQR270, X, Y, Truck
XYZ189, X, Y, Car
PQR253, X, Y, Truck
XYZ167, X, Y, Car
XYZ197, X, Y, Car
XYZ102, X, Y, Car
PQR235, X, Y, Truck
XYZ107, X, Y, Car
PQR210, X, Y, Truck
XYZ105, X, Y, Car
XYZ172, X, Y, Car
XYZ122, X, Y, Car
PQR275, X, Y, Truck
XYZ134, X, Y, Car
XYZ153, X, Y, Car
PQR297, X, Y, Truck
XYZ193, X, Y, Car
PQR269, X, Y, Truck
PQR280, X, Y, Truck
PQR286, X, Y, Truck
PQR296, X, Y, Truck
XYZ164, X, Y, Car
PQR247, X, Y, Truck
PQR222, X, Y, Truck
XYZ160, X, Y, Car
XYZ156, X, Y, Car
PQR250, X, Y, Truck
XYZ187, X, Y, Car
XYZ158, X, Y, Car
PQR292, X, Y, Truck
XYZ101, X, Y, Car
PQR290, X, Y, Truck
XYZ132, X, Y, Car
PQR294, X, Y, Truck
XYZ192, X, Y, Car
PQR221, X, Y, Truck
XYZ194, X, Y, Car
PQR216, X, Y, Truck
PQR204, X, Y, Truck
XYZ169, X, Y, Car
XYZ163, X, Y, Car
PQR238, X, Y, Truck
XYZ174, X, Y, Car
XYZ135, X, Y, Car
PQR211, X, Y, Truck
PQR208, X, Y, Truck
PQR206, X, Y, Truck
PQR279, X, Y, Truck
XYZ170, X, Y, Car
XYZ179, X, Y, Car
PQR202, X, Y, Truck
XYZ114, X, Y, Car
XYZ143, X, Y, Car
