XYZ131, X, Y, Car
PQR204, X, Y, Truck
PQR300, X, Y, Truck
XYZ195, X, Y, Car
PQR239, X, Y, Truck
XYZ166, X, Y, Car
XYZ196, X, Y, Car
XYZ169, X, Y, Car
PQR262, X, Y, Truck
XYZ180, X, Y, Car
PQR284, X, Y, Truck
XYZ116, X, Y, Car
XYZ146, X, Y, Car
PQR242, X, Y, Truck
XYZ167, X, Y, Car
XYZ190, X, Y, Car
PQR208, X, Y, Truck
PQR227, X, Y, Truck
XYZ123, X, Y, Car
XYZ155, X, Y, Car
PQR248, X, Y, Truck
PQR267, X, Y, Truck
XYZ153, X, Y, Car
XYZ129, X, Y, Car
PQR257, X, Y, Truck
PQR288, X, Y, Truck
XYZ192, X, Y, Car
XYZ161, X, Y, Car
PQR232, X, Y, Truck
PQR221, X, Y, Truck
PQR252, X, Y, Truck
PQR219, X, Y, Truck
PQR205, X, Y, Truck
PQR295, X, Y, Truck
PQR272, X, Y, Truck
XYZ105, X, Y, Car
PQR291, X, Y, Truck
XYZ183, X, Y, Car
XYZ145, X, Y, Car
PQR287, X, Y, Truck
PQR230, X, Y, Truck
XYZ128, X, Y, Car
XYZ108, X, Y, Car
XYZ187, X, Y, Car
PQR279, X, Y, Truck
XYZ124, X, Y, Car
PQR271, X, Y, Truck
PQR285, X, Y, Truck
PQR215, X, Y, Truck
PQR254, X, Y, Truck
XYZ113, X, Y, Car
PQR258, X, Y, Truck
XYZ193, X, Y, Car
XYZ199, X, Y, Car
PQR201, X, Y, Truck
XYZ185, X, Y, Car
XYZ197, X, Y, Car
PQR256, X, Y, Truck
XYZ126, X, Y, Car
XYZ133, X, Y, Car
PQR228, X, Y, Truck
PQR298, X, Y, Truck
XYZ120, X, Y, Car
PQR293, X, Y, Truck
XYZ175, X, Y, Car
XYZ174, X, Y, Car
XYZ189, X, Y, Car
XYZ154, X, Y, Car
PQR286, X, Y, Truck
XYZ149, X, Y, Car
XYZ135, X, Y, Car
PQR213, X, Y, Truck
PQR283, X, Y, Truck
PQR274, X, Y, Truck
XYZ194, X, Y, Car
XYZ109, X, Y, Car
PQR299, X, Y, Truck
PQR222, X, Y, Truck
PQR270, X, Y, Truck
XYZ159, X, Y, Car
XYZ141, X, Y, Car
XYZ115, X, Y, Car
PQR237, X, Y, Truck
XYZ156, X, Y, Car
PQR202, X, Y, Truck
PQR207, X, Y, Truck
PQR260, X, Y, Truck
XYZ137, X, Y, Car
PQR253, X, Y, Truck
PQR282, X, Y, Truck
PQR280, X, Y, Truck
XYZ182, X, Y, Car
PQR278, X, Y, Truck
PQR220, X, Y, Truck
XYZ179, X, Y, Car
XYZ119, X, Y, Car
PQR240, X, Y, Truck
XYZ176, X, Y, Car
PQR294, X, Y, Truck
XYZ121, X, Y, Car
PQR289, X, Y, Truck
PQR259, X, Y, Truck
XYZ186, X, Y, Car
XYZ107, X, Y, Car
PQR290, X, Y, Truck
PQR244, X, Y, Truck
PQR263, X, Y, Truck
XYZ198, X, Y, Car
