XYZ162, 13, 0.35, 481
PQR259, 19, 0.86, 1041
PQR299, 4, 0.34, 92
PQR286, 16, 0.26, 95
PQR273, 29, 0.9, 241
XYZ178, 9, 0.29, 202
PQR285, 21, 0.82, 292
PQR246, 18, 0.7, 377
XYZ194, 11, 0.29, 296
XYZ144, 10, 0.2, 573
XYZ193, 12, 0.68, 900
PQR219, 19, 0.52, 134
XYZ137, 13, 0.21, 687
PQR228, 7, 0.64, 93
PQR220, 0, 0.01, 1085
XYZ149, 0, 0.16, 633
PQR295, 20, 0.05, 199
PQR243, 18, 0.07, 939
XYZ187, 9, 0.66, 432
XYZ196, 6, 0.36, 721
PQR253, 27, 0.76, 255
XYZ172, 0, 0.39, 881
XYZ177, 7, 0.2, 299
XYZ134, 12, 0.27, 606
PQR218, 30, 0.25, 121
XYZ168, 5, 0.64, 466
PQR248, 25, 0.81, 583
PQR279, 24, 0.61, 330
PQR245, 28, 0.68, 56
PQR288, 19, 0.37, 359
XYZ179, 16, 0.66, 666
PQR205, 30, 0.03, 687
PQR240, 27, 0.38, 907
PQR224, 22, 1.0, 906
XYZ183, 14, 0.7, 650
PQR217, 16, 0.47, 436
XYZ132, 17, 0.43, 832
PQR210, 24, 0.68, 595
PQR202, 16, 0.62, 1009
XYZ166, 0, 0.66, 282
XYZ151, 1, 0.62, 272
XYZ106, 15, 0.44, 858
XYZ130, 20, 0.23, 480
XYZ159, 0, 0.04, 737
PQR244, 25, 0.09, 874
PQR261, 10, 0.62, 1105
PQR271, 17, 0.57, 592
